age,marital_status,religion,parity,education_status,Occupation,ethnicity,by_distance,by_unemployment,by_illiteracy,uneducated_spouse,by_pregnancy_education,by_income,low_family_earning,healthcare_cost,strict_believes,husband_authority,fear_of_surgery,proving_womanhood,curses,traditional_birth_mode,herbal_prescriptions,bad_attitude,healthcare_delay,late_anc_attendance,poor_healthcare,obstetric_care_accessibility,health_workers_attitude,traditional_solutions,social_support,health_inst_adherence
29,Single,Christian,3,Junior high school,Trader,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree
20,Married,Christian,3,Primary,Unemployed,Akan,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree
34,Married,Christian,3,No education,Trader,Akan,Agree,Disagree,Neutral,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree
16,Single,Christian,0,Primary,Unemployed,Akan,Neutral,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
28,Married,Christian,3,No education,Farmer,Akan,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree
24,Married,Christian,2,Primary,Apprentice,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly agree
27,Married,Christian,4,No education,Trader,Akan,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
35,Married,Christian,5,No education,Farmer,Akan,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree
17,Married,Christian,0,Primary,Farmer,Akan,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
25,Married,Christian,4,Primary,Trader,Akan,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree
