age,marital_status,religion,parity,education_status,Occupation,ethnicity,by_distance,by_unemployment,by_illiteracy,uneducated_spouse,by_pregnancy_education,by_income,low_family_earning,healthcare_cost,strict_believes,husband_authority,fear_of_surgery,proving_womanhood,curses,traditional_birth_mode,herbal_prescriptions,bad_attitude,healthcare_delay,late_anc_attendance,poor_healthcare,obstetric_care_accessibility,health_workers_attitude,traditional_solutions,social_support,health_inst_adherence
16,Single,Christian,1,Junior high school,Unemployed,Akan,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
27,Married,Christian,1,Senior high school and above,Trader,Akan,Strongly agree,Agree,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree
28,Married,Christian,3,Junior high school,Tailor,Akan,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree
32,Married,Christian,3,Junior high school,Hairdresser,Akan,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
29,Married,Christian,2,Junior high school,Trader,Akan,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree
43,Married,Christian,8,Junior high school,Unemployed,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree
28,Single,Christian,1,Junior high school,Seamstress,Akan,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
20,Single,Christian,0,Primary,Unemployed,Akan,Agree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree
32,Married,Christian,3,Junior high school,Tailor,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
18,Single,Christian,0,Senior high school and above,Unemployed,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
25,Married,Christian,0,Senior high school and above,Trader,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
25,Single,Christian,0,Senior high school and above,Trader,Akan,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree
32,Single,Christian,1,Primary,Seamstress,Akan,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree
28,Married,Christian,1,Senior high school and above,Trader,Akan,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree
26,Married,Christian,3,Primary,Farmer,Ewe,Agree,Agree,Strongly disagree,Agree,Strongly agree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
23,Single,Christian,0,Junior high school,Seamstress,Akan,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Neutral,Neutral,Disagree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
20,Single,Christian,0,Senior high school and above,Unemployed,Ewe,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree
31,Married,Christian,1,Senior high school and above,Trader,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
35,Married,Christian,8,Primary,Farmer,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
28,Married,Christian,2,Junior high school,Seamstress,Akan,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree
39,Married,Christian,2,Tertiary,Teacher,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree
31,Married,Christian,2,Senior high school and above,Trader,Akan,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Strongly disagree,Agree,Agree,Strongly agree,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly agree
29,Married,Christian,1,Senior high school and above,Apprentice,Akan,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree
26,Married,Christian,1,Senior high school and above,Unemployed,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree
29,Married,Christian,1,Senior high school and above,Trader,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
42,Married,Islam,5,Senior high school and above,Trader,Sisala,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Neutral,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
50,Married,Christian,5,No education,Farmer,Akan,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree
31,Married,Christian,3,Tertiary,Teaching,Akan,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
28,Separated,Christian,2,No education,Unemployed,Akan,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree
40,Married,Christian,3,Primary,Trader,Akan,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree
26,Cohabitation,Christian,0,Junior high school,Apprentice,Guan,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree
21,Single,Christian,0,Senior high school and above,Unemployed,Akan,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree
38,Married,Christian,5,Junior high school,Trader,Akan,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree
29,Married,Christian,2,Senior high school and above,Teaching,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
23,Single,Christian,0,Junior high school,Apprentice,Akan,Agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree
30,Separated,Christian,2,Senior high school and above,Trader,Akan,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree
43,Married,Christian,5,Primary,Farmer,Akan,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree
22,Cohabitation,Christian,1,Junior high school,Unemployed,Akan,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree
32,Married,Islam,2,Senior high school and above,Trader,Hansa,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree
26,Married,Christian,1,Primary,Seamstress,Akan,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree
41,Married,Christian,4,Junior high school,Trader,Akan,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree
18,Married,Christian,1,No education,Trader,Akan,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree
17,Married,Christian,2,Primary,Trader,Akan,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree
19,Married,Christian,2,Primary,Seamstress,Akan,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree
36,Married,Christian,3,Junior high school,Seamstress,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree
22,Married,Christian,1,Senior high school and above,Student,Akan,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Disagree,Neutral,Strongly disagree,Neutral,Agree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree
24,Married,Christian,1,Junior high school,Unemployed,Akan,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
28,Married,Christian,1,Junior high school,Seamstress,Akan,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
26,Single,Christian,1,Junior high school,Hairdresser,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree
25,Married,Christian,1,Senior high school and above,Trader,Akan,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree
24,Married,Christian,1,Primary,Hairdresser,Akan,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree
15,Married,Christian,1,Junior high school,Unemployed,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
28,Married,Christian,3,Primary,Trader,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
23,Married,Christian,1,Senior high school and above,Unemployed,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree
20,Married,Christian,2,Junior high school,Unemployed,Akan,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree
19,Single,Traditionalist,0,Primary,Unemployed,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
28,Married,Christian,1,No education,Trader,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
24,Married,Christian,2,Senior high school and above,Trader,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree
30,Married,Christian,2,No education,Farmer,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree
21,Married,Traditionalist,0,Primary,Apprentice,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
21,Married,Christian,1,Primary,Apprentice,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree
21,Married,Christian,2,Primary,Farmer,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
32,Married,Christian,1,Senior high school and above,Trader,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
30,Married,Christian,7,Primary,Trader,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree
33,Married,Christian,3,Primary,Trader,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
30,Married,Christian,4,No education,Trader,Akan,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
30,Married,Christian,3,Junior high school,Seamstress,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
19,Single,Christian,2,Junior high school,Hairdresser,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree
27,Married,Christian,1,Senior high school and above,Trader,Akan,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
36,Married,Christian,4,Primary,Trader,Akan,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree
27,Married,Traditionalist,2,Junior high school,Trader,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
29,Married,Christian,3,Senior high school and above,Trader,Akan,Strongly agree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree
42,Married,Christian,7,Junior high school,Seamstress,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
29,Separated,Christian,2,Junior high school,Unemployed,Akan,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree
19,Single,Traditionalist,1,Junior high school,Unemployed,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly agree
42,Married,Christian,10,No education,Trader,Akan,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree
36,Married,Christian,3,Junior high school,Seamstress,Mole Dagbane,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
30,Married,Christian,5,No education,Trader,Akan,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree
40,Married,Traditionalist,4,No education,Farmer,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
